dive_id|calibration_dive_id|camera_id|model|known_length_m|length_m|depth_m|dot|leid|pos|ax|km
76|63|3|Shark|0.605|0.5563632585100188|1.8922933340072632|1981.6530273871708;1421.8930605477444|20|[-0.03206002712249756, -0.09930168092250824, 0.0]|[0.0013077228795737028, 0.027590053156018257, 0.999618411064148]|[[2832.88718694667, 0.0, 2027.3101376941806], [0.0, 2857.5529688242154, 1492.5272084030742], [0.0, 0.0, 1.0]]
76|63|3|Shark|0.605|0.5530289257548082|1.886426329612732|1981.623760430796;1421.3903504587297|20|[-0.03206002712249756, -0.09930168092250824, 0.0]|[0.0013077228795737028, 0.027590053156018257, 0.999618411064148]|[[2832.88718694667, 0.0, 2027.3101376941806], [0.0, 2857.5529688242154, 1492.5272084030742], [0.0, 0.0, 1.0]]
76|63|3|Shark|0.605|0.549427023524329|1.8810621500015259|1980.251436159591;1421.3991418367893|20|[-0.03206002712249756, -0.09930168092250824, 0.0]|[0.0013077228795737028, 0.027590053156018257, 0.999618411064148]|[[2832.88718694667, 0.0, 2027.3101376941806], [0.0, 2857.5529688242154, 1492.5272084030742], [0.0, 0.0, 1.0]]
76|63|3|Shark|0.605|0.5503106508680008|1.8810081481933594|1980.572274083535;1421.2802707657863|20|[-0.03206002712249756, -0.09930168092250824, 0.0]|[0.0013077228795737028, 0.027590053156018257, 0.999618411064148]|[[2832.88718694667, 0.0, 2027.3101376941806], [0.0, 2857.5529688242154, 1492.5272084030742], [0.0, 0.0, 1.0]]
76|63|3|Shark|0.605|0.5523573412245564|1.8887059688568115|1979.436477692527;1422.3813848786208|20|[-0.03206002712249756, -0.09930168092250824, 0.0]|[0.0013077228795737028, 0.027590053156018257, 0.999618411064148]|[[2832.88718694667, 0.0, 2027.3101376941806], [0.0, 2857.5529688242154, 1492.5272084030742], [0.0, 0.0, 1.0]]
76|63|3|Shark|0.605|0.5495183214856068|1.8770583868026733|1980.1698981296656;1421.0760602065532|20|[-0.03206002712249756, -0.09930168092250824, 0.0]|[0.0013077228795737028, 0.027590053156018257, 0.999618411064148]|[[2832.88718694667, 0.0, 2027.3101376941806], [0.0, 2857.5529688242154, 1492.5272084030742], [0.0, 0.0, 1.0]]
76|63|3|Shark|0.605|0.5481153649720252|1.8759925365447998|1981.0692639237275;1420.6590124651295|20|[-0.03206002712249756, -0.09930168092250824, 0.0]|[0.0013077228795737028, 0.027590053156018257, 0.999618411064148]|[[2832.88718694667, 0.0, 2027.3101376941806], [0.0, 2857.5529688242154, 1492.5272084030742], [0.0, 0.0, 1.0]]
76|63|3|Shark|0.605|0.5490540302184357|1.8776259422302246|1980.6388691423092;1420.9507896692405|20|[-0.03206002712249756, -0.09930168092250824, 0.0]|[0.0013077228795737028, 0.027590053156018257, 0.999618411064148]|[[2832.88718694667, 0.0, 2027.3101376941806], [0.0, 2857.5529688242154, 1492.5272084030742], [0.0, 0.0, 1.0]]
76|63|3|Shark|0.605|0.5491464718268031|1.8756682872772217|1980.8345139253472;1420.712609278765|20|[-0.03206002712249756, -0.09930168092250824, 0.0]|[0.0013077228795737028, 0.027590053156018257, 0.999618411064148]|[[2832.88718694667, 0.0, 2027.3101376941806], [0.0, 2857.5529688242154, 1492.5272084030742], [0.0, 0.0, 1.0]]
76|63|3|Shark|0.605|0.5714652417625938|2.304943799972534|1990.8307684922333;1448.5474679595527|20|[-0.03206002712249756, -0.09930168092250824, 0.0]|[0.0013077228795737028, 0.027590053156018257, 0.999618411064148]|[[2832.88718694667, 0.0, 2027.3101376941806], [0.0, 2857.5529688242154, 1492.5272084030742], [0.0, 0.0, 1.0]]
76|63|3|Shark|0.605|0.5699321265116303|2.2334482669830322|1987.984743048018;1445.1683779173368|20|[-0.03206002712249756, -0.09930168092250824, 0.0]|[0.0013077228795737028, 0.027590053156018257, 0.999618411064148]|[[2832.88718694667, 0.0, 2027.3101376941806], [0.0, 2857.5529688242154, 1492.5272084030742], [0.0, 0.0, 1.0]]
76|63|3|Shark|0.605|0.5637008076399033|2.240142583847046|1988.2569417525187;1445.4988082386915|20|[-0.03206002712249756, -0.09930168092250824, 0.0]|[0.0013077228795737028, 0.027590053156018257, 0.999618411064148]|[[2832.88718694667, 0.0, 2027.3101376941806], [0.0, 2857.5529688242154, 1492.5272084030742], [0.0, 0.0, 1.0]]
76|63|3|Shark|0.605|0.5584417789041491|2.3505020141601562|1991.905796395122;1450.8184338566646|20|[-0.03206002712249756, -0.09930168092250824, 0.0]|[0.0013077228795737028, 0.027590053156018257, 0.999618411064148]|[[2832.88718694667, 0.0, 2027.3101376941806], [0.0, 2857.5529688242154, 1492.5272084030742], [0.0, 0.0, 1.0]]
76|63|3|Shark|0.605|0.5574919033892698|2.276691198348999|1989.8473649973441;1447.1845013258758|20|[-0.03206002712249756, -0.09930168092250824, 0.0]|[0.0013077228795737028, 0.027590053156018257, 0.999618411064148]|[[2832.88718694667, 0.0, 2027.3101376941806], [0.0, 2857.5529688242154, 1492.5272084030742], [0.0, 0.0, 1.0]]
76|63|3|Shark|0.605|0.569513986406479|2.3605098724365234|1991.5442179136583;1451.5120902083402|20|[-0.03206002712249756, -0.09930168092250824, 0.0]|[0.0013077228795737028, 0.027590053156018257, 0.999618411064148]|[[2832.88718694667, 0.0, 2027.3101376941806], [0.0, 2857.5529688242154, 1492.5272084030742], [0.0, 0.0, 1.0]]
76|63|3|Shark|0.605|0.5717790468526295|2.4827330112457275|1992.0143872184108;1457.9441483428404|20|[-0.03206002712249756, -0.09930168092250824, 0.0]|[0.0013077228795737028, 0.027590053156018257, 0.999618411064148]|[[2832.88718694667, 0.0, 2027.3101376941806], [0.0, 2857.5529688242154, 1492.5272084030742], [0.0, 0.0, 1.0]]
76|63|3|Shark|0.605|0.5577807261226866|2.3875927925109863|1991.5139376499296;1453.0389980252958|20|[-0.03206002712249756, -0.09930168092250824, 0.0]|[0.0013077228795737028, 0.027590053156018257, 0.999618411064148]|[[2832.88718694667, 0.0, 2027.3101376941806], [0.0, 2857.5529688242154, 1492.5272084030742], [0.0, 0.0, 1.0]]
76|63|3|Purple Angel|0.192|0.18821989766073713|0.8735721111297607|1925.041509565361;1247.2345222425283|20|[-0.03206002712249756, -0.09930168092250824, 0.0]|[0.0013077228795737028, 0.027590053156018257, 0.999618411064148]|[[2832.88718694667, 0.0, 2027.3101376941806], [0.0, 2857.5529688242154, 1492.5272084030742], [0.0, 0.0, 1.0]]
76|63|3|Purple Angel|0.192|0.18938567491907787|0.8653489351272583|1924.5;1244|20|[-0.03206002712249756, -0.09930168092250824, 0.0]|[0.0013077228795737028, 0.027590053156018257, 0.999618411064148]|[[2832.88718694667, 0.0, 2027.3101376941806], [0.0, 2857.5529688242154, 1492.5272084030742], [0.0, 0.0, 1.0]]
76|63|3|Purple Angel|0.192|0.18785360391027123|0.8568137288093567|1926.6632396194682;1239.686050764895|20|[-0.03206002712249756, -0.09930168092250824, 0.0]|[0.0013077228795737028, 0.027590053156018257, 0.999618411064148]|[[2832.88718694667, 0.0, 2027.3101376941806], [0.0, 2857.5529688242154, 1492.5272084030742], [0.0, 0.0, 1.0]]
76|63|3|Purple Angel|0.192|0.1847540086961635|1.7782914638519287|1977.3377947402387;1412.7273410049872|20|[-0.03206002712249756, -0.09930168092250824, 0.0]|[0.0013077228795737028, 0.027590053156018257, 0.999618411064148]|[[2832.88718694667, 0.0, 2027.3101376941806], [0.0, 2857.5529688242154, 1492.5272084030742], [0.0, 0.0, 1.0]]
76|63|3|Purple Angel|0.192|0.18413629039995286|1.735823392868042|1977.5715622876596;1408.2967211028215|20|[-0.03206002712249756, -0.09930168092250824, 0.0]|[0.0013077228795737028, 0.027590053156018257, 0.999618411064148]|[[2832.88718694667, 0.0, 2027.3101376941806], [0.0, 2857.5529688242154, 1492.5272084030742], [0.0, 0.0, 1.0]]
76|63|3|Purple Angel|0.192|0.18283727813061354|1.815151333808899|1978.367609618879;1415.9771979775392|20|[-0.03206002712249756, -0.09930168092250824, 0.0]|[0.0013077228795737028, 0.027590053156018257, 0.999618411064148]|[[2832.88718694667, 0.0, 2027.3101376941806], [0.0, 2857.5529688242154, 1492.5272084030742], [0.0, 0.0, 1.0]]
76|63|3|Purple Angel|0.192|0.1865484173663072|1.8117141723632812|1977.6178075795847;1415.911542709085|20|[-0.03206002712249756, -0.09930168092250824, 0.0]|[0.0013077228795737028, 0.027590053156018257, 0.999618411064148]|[[2832.88718694667, 0.0, 2027.3101376941806], [0.0, 2857.5529688242154, 1492.5272084030742], [0.0, 0.0, 1.0]]
76|63|3|Purple Angel|0.192|0.18377185925666853|1.8169031143188477|1978.6780541619942;1416.028644825029|20|[-0.03206002712249756, -0.09930168092250824, 0.0]|[0.0013077228795737028, 0.027590053156018257, 0.999618411064148]|[[2832.88718694667, 0.0, 2027.3101376941806], [0.0, 2857.5529688242154, 1492.5272084030742], [0.0, 0.0, 1.0]]
76|63|3|Purple Angel|0.192|0.18277527204654143|1.8369578123092651|1977.9909601858717;1418.1867042414322|20|[-0.03206002712249756, -0.09930168092250824, 0.0]|[0.0013077228795737028, 0.027590053156018257, 0.999618411064148]|[[2832.88718694667, 0.0, 2027.3101376941806], [0.0, 2857.5529688242154, 1492.5272084030742], [0.0, 0.0, 1.0]]
